id,datetime,tempmax,tempmin,temp,humidity,windspeed,pressure,visibility,conditions,year,decade,,,,,,,,
1,1/1/1973,68.1,42.9,55.5,53.41,13.6,1018.5,2.5,Clear,1973,1970s,,,1970s,1980s,1990s,2000s,2010s,2020s
2,1/2/1973,66.3,42.9,55,49.22,14.8,1017.9,2.5,Partially cloudy,1973,1970s,,,,,,,,
3,1/3/1973,66.3,46.5,56.7,45.09,12.5,1016,2.5,Clear,1973,1970s,,,,,,,,
4,1/4/1973,71.7,48.3,59.1,48.9,11.4,1015.5,3,Clear,1973,1970s,,,,,,,,
5,1/5/1973,73.5,48.3,61.3,55.82,5.6,1016.7,1.2,Partially cloudy,1973,1970s,,,,,,,,
6,1/6/1973,78.9,55.5,65.7,64.38,6.7,1014.2,1.6,Partially cloudy,1973,1970s,,,,,,,,
7,1/7/1973,71.7,53.7,61.7,59.86,13.6,1013.1,2.3,Clear,1973,1970s,,,,,,,,
8,1/8/1973,71.7,50.1,60.6,53.03,10.3,1014.8,2.8,Clear,1973,1970s,,,,,,,,
9,1/9/1973,68.1,50.1,58.1,52.39,11.4,1017,2.3,Clear,1973,1970s,,,,,,,,
10,1/10/1973,66.3,44.7,54.5,60.27,4.5,1017.8,2.1,Clear,1973,1970s,,,,,,,,
11,1/11/1973,69.9,50.1,60.4,65.71,13.6,1015.2,1.4,Partially cloudy,1973,1970s,,,,,,,,
12,1/12/1973,69.9,53.7,61.6,68.13,13.6,1014.1,2.6,Clear,1973,1970s,,,,,,,,
13,1/13/1973,68.1,48.3,57.1,64.49,16.1,1015.2,1.9,Clear,1973,1970s,,,,,,,,
14,1/14/1973,64.5,46.5,53.2,59.57,15,1012.8,2.5,Partially cloudy,1973,1970s,,,,,,,,
15,1/15/1973,68.1,48.3,57.3,55.18,17.2,1014.2,2.5,Clear,1973,1970s,,,,,,,,
16,1/16/1973,69.9,44.7,57.9,50.46,18.3,1015.1,2.5,Clear,1973,1970s,,,,,,,,
17,1/17/1973,75.3,48.3,61.7,56.04,5.6,1015.6,2.3,Partially cloudy,1973,1970s,,,,,,,,
18,1/18/1973,71.7,53.7,61.7,72.24,11.4,1011.4,1.4,Partially cloudy,1973,1970s,,,,,,,,
19,1/19/1973,66.3,53.7,61.3,80.93,12.5,1012,2.5,Partially cloudy,1973,1970s,,,,,,,,
20,1/20/1973,68.1,57.3,62.4,87.58,12.5,1012.3,2,Partially cloudy,1973,1970s,,,,,,,,
21,1/21/1973,62.7,50.1,55.5,68.84,16.1,1017.6,3,Clear,1973,1970s,,,,,,,,
22,1/22/1973,60.9,42.9,51.9,59.91,18.3,1018.8,3.1,Clear,1973,1970s,,,,,,,,
23,1/23/1973,64.5,42.9,54.5,61.68,15,1017.4,3,Clear,1973,1970s,,,,,,,,
24,1/24/1973,66.3,44.7,55,61.36,13.6,1015.3,2.3,Partially cloudy,1973,1970s,,,,,,,,
25,1/25/1973,69.9,44.7,56.2,58.05,5.6,1014.9,3.4,Clear,1973,1970s,,,,,,,,
26,1/26/1973,68.1,44.7,54.8,62.37,6.7,1014.2,1.8,Clear,1973,1970s,,,,,,,,
27,1/27/1973,62.7,44.7,54.1,56.97,13.6,1013.7,2.2,Clear,1973,1970s,,,,,,,,
28,1/28/1973,62.7,42.9,52.9,64.41,20.6,1020.7,2.7,Clear,1973,1970s,,,,,,,,
29,1/29/1973,66.3,42.9,51.9,66.74,11.4,1021.6,2.3,Clear,1973,1970s,,,,,,,,
30,1/30/1973,68.1,44.7,54.5,62.21,5.6,1020.4,1.8,Partially cloudy,1973,1970s,,,,,,,,
31,1/31/1973,64.5,50.1,56.1,63.3,9.2,1020.7,2.5,Clear,1973,1970s,,,,,,,,
32,2/1/1973,68.1,44.7,55.7,61.78,4.5,1020.8,1.6,Partially cloudy,1973,1970s,,,,,,,,
33,2/2/1973,69.9,50.1,58.3,60.01,5.6,1018.7,2,Partially cloudy,1973,1970s,,,,,,,,
34,2/3/1973,71.7,46.5,59.9,58.4,4.5,1020.3,6.8,Clear,1973,1970s,,,,,,,,
35,2/4/1973,71.7,50.1,60.9,57.28,5.6,1020.4,2,Partially cloudy,1973,1970s,,,,,,,,
36,2/5/1973,69.9,51.9,60.9,42.95,15,1020.1,3.7,Partially cloudy,1973,1970s,,,,,,,,
37,2/6/1973,69.9,46.5,59.6,49.72,13.6,1019.7,2.5,Clear,1973,1970s,,,,,,,,
38,2/7/1973,75.3,50.1,63.5,52.19,13.6,1015,2.8,Partially cloudy,1973,1970s,,,,,,,,
39,2/8/1973,64.5,55.5,59.3,69.83,13.6,1015.4,2.1,Partially cloudy,1973,1970s,,,,,,,,
40,2/9/1973,73.5,51.9,61.8,71.66,3.4,1019.1,3.2,Partially cloudy,1973,1970s,,,,,,,,
41,2/10/1973,75.3,53.7,65.2,58.62,18.3,1017,3.2,Partially cloudy,1973,1970s,,,,,,,,
42,2/11/1973,73.5,53.7,63.9,59,9.2,1017.2,2.3,Partially cloudy,1973,1970s,,,,,,,,
43,2/12/1973,75.3,51.9,65,62.12,8.1,1015.5,3,Partially cloudy,1973,1970s,,,,,,,,
44,2/13/1973,78.9,55.5,65.4,63.71,6.7,1013.6,3.5,Partially cloudy,1973,1970s,,,,,,,,
45,2/14/1973,77.1,55.5,65.5,68.28,5.6,1010.8,1.3,Partially cloudy,1973,1970s,,,,,,,,
46,2/15/1973,77.1,55.5,66.5,63.43,9.2,1009.8,2.2,Clear,1973,1970s,,,,,,,,
47,2/16/1973,78.9,57.3,68.4,55.43,5.6,1010.4,3.7,Clear,1973,1970s,,,,,,,,
48,2/17/1973,78.9,59.1,70.6,54.08,13.6,1012.6,2.7,Clear,1973,1970s,,,,,,,,
49,2/18/1973,80.7,57.3,68.9,47.85,16.1,1013.3,2.5,Clear,1973,1970s,,,,,,,,
50,2/19/1973,82.5,59.1,69.4,50.53,12.5,1012.7,2.3,Partially cloudy,1973,1970s,,,,,,,,
51,2/20/1973,82.5,59.1,70.4,51.13,10.3,1012.9,3,Clear,1973,1970s,,,,,,,,
52,2/21/1973,80.7,59.1,69.6,49.27,11.4,1013.3,3.7,Clear,1973,1970s,,,,,,,,
53,2/22/1973,84.3,55.5,68.8,56.67,5.6,1015.4,1.9,Clear,1973,1970s,,,,,,,,
54,2/23/1973,86.1,57.3,73.2,54.24,12.5,1014.5,2.5,Partially cloudy,1973,1970s,,,,,,,,
55,2/24/1973,,,,,,,,,1973,1970s,,,,,,,,
56,2/25/1973,78.9,66.3,71.9,60.86,18.3,1007.2,2,Partially cloudy,1973,1970s,,,,,,,,
57,2/26/1973,77.1,59.1,69,62.7,4.5,1006.3,2.5,Clear,1973,1970s,,,,,,,,
58,2/27/1973,75.3,57.3,65.1,70.9,11.4,1004.6,2.5,Partially cloudy,1973,1970s,,,,,,,,
59,2/28/1973,73.5,53.7,64.7,68.76,5.6,1012,3.6,Partially cloudy,1973,1970s,,,,,,,,
60,3/1/1973,77.1,53.7,67.5,60.66,6.7,1013.3,3.5,Partially cloudy,1973,1970s,,,,,,,,
61,3/2/1973,77.1,57.3,69.1,52.66,6.7,1013.7,2.5,Partially cloudy,1973,1970s,,,,,,,,
62,3/3/1973,78.9,57.3,69.3,48.82,9.2,1014.3,3.4,Clear,1973,1970s,,,,,,,,
63,3/4/1973,77.1,55.5,66.6,52.64,6.7,1013.8,2.5,Clear,1973,1970s,,,,,,,,
64,3/5/1973,78.9,57.3,68.6,51.62,15,1011.7,2.3,Partially cloudy,1973,1970s,,,,,,,,
65,3/6/1973,80.7,62.7,69.7,59.61,13.6,1009.7,2.5,Partially cloudy,1973,1970s,,,,,,,,
66,3/7/1973,77.1,57.3,67.6,59.87,6.7,1011.5,2.3,Partially cloudy,1973,1970s,,,,,,,,
67,3/8/1973,77.1,62.7,68.8,61.12,16.1,1009.6,2.5,Partially cloudy,1973,1970s,,,,,,,,
68,3/9/1973,80.7,60.9,71.1,62.2,13.6,1009.2,2.5,Clear,1973,1970s,,,,,,,,
69,3/10/1973,89.7,68.1,80.7,39.72,13.6,1007.5,2.5,Clear,1973,1970s,,,,,,,,
70,3/11/1973,73.5,60.9,67.9,29.5,16.1,1012,1.1,Clear,1973,1970s,,,,,,,,
71,3/12/1973,71.7,51.9,61.7,40.13,13.6,1014.9,2.7,Clear,1973,1970s,,,,,,,,
72,3/13/1973,73.5,53.7,62.7,38.89,20.6,1015,3.4,Clear,1973,1970s,,,,,,,,
73,3/14/1973,75.3,51.9,65.5,38.85,16.1,1016.2,2.5,Clear,1973,1970s,,,,,,,,
74,3/15/1973,80.7,55.5,68.6,38.09,17.2,1016,3.6,Clear,1973,1970s,,,,,,,,
75,3/16/1973,86.1,55.5,72.7,35.3,16.1,1013.6,2.5,Partially cloudy,1973,1970s,,,,,,,,
76,3/17/1973,84.3,59.1,71.7,40.89,12.5,1012.9,2.1,Partially cloudy,1973,1970s,,,,,,,,
77,3/18/1973,87.9,64.7,77.1,40.15,3.4,1014.9,2.3,Clear,1973,1970s,,,,,,,,
78,3/19/1973,87.9,60.9,73.7,45.85,12.5,1014.2,2.5,Clear,1973,1970s,,,,,,,,
79,3/20/1973,87.9,64.5,74.8,44.2,13.6,1011.7,2.5,Clear,1973,1970s,,,,,,,,
80,3/21/1973,86.1,68.1,78.6,29.03,17.2,1014.7,3.7,Clear,1973,1970s,,,,,,,,
81,3/22/1973,84.3,62.7,72.8,39.33,18.3,1013.4,2.5,Clear,1973,1970s,,,,,,,,
82,3/23/1973,86.1,59.1,73.5,35.16,17.2,1013.4,3.6,Clear,1973,1970s,,,,,,,,
83,3/24/1973,89.7,60.9,78.4,32.35,10.3,1013,4.1,Clear,1973,1970s,,,,,,,,
84,3/25/1973,91.5,60.9,80.2,41.86,6.7,1013.7,3.8,Clear,1973,1970s,,,,,,,,
85,3/26/1973,89.7,64.5,76.2,57.93,3.4,1011.9,1.9,Partially cloudy,1973,1970s,,,,,,,,
86,3/27/1973,98.7,66.3,84,40.98,8.1,1008.5,2.2,Partially cloudy,1973,1970s,,,,,,,,
87,3/28/1973,100.5,68.1,88.8,32.06,10.3,1006.2,2.3,Partially cloudy,1973,1970s,,,,,,,,
